text	category
ഈ കുറ്റബോധത്തിൽ നിന്ന് രക്ഷപ്പെടാൻ എന്തെങ്കിലും വഴിയുണ്ടോ എന്ന് എനിക്ക് ഉറപ്പില്ല	സങ്കടം 
സന്തോഷകരമായ ചിന്തകൾ സന്തോഷകരമായ ജീവിതത്തിന് വഴിയൊരുക്കുന്നു.	സന്തോഷം 
നിങ്ങളുടെ ജീവിതത്തിൽ നിങ്ങൾ ആശ്ചര്യപ്പെട്ടില്ലായിരുന്നെങ്കിൽ നിങ്ങൾ ജീവിച്ചിരിക്കില്ലായിരുന്നു.	അഭിനന്ദനം
പരിഭ്രാന്തി വേണ്ട. നിങ്ങൾ ഇരിക്കുകയാണോ? ഒരുപക്ഷേ നിങ്ങൾ ഇരിക്കേണ്ടതില്ല.  ശരി, ഒരുപക്ഷേ. കുറഞ്ഞത് എന്തെങ്കിലും ആശ്രയിക്കുക.	ഭയം 
ശാന്തമായ ഒരു വനത്തിലൂടെയുള്ള ശാന്തമായ നടത്തം ശാന്തതയുടെ ഒരു വികാരം കൊണ്ടുവന്നു.	സന്തോഷം 
ജീവിതത്തിന്റെ സിംഫണി അപ്രതീക്ഷിതമായ കുറിപ്പുകൾ ചേർന്നതാണ്.	അത്ഭുതം 
 അവന്റെ അപാരമായ ആത്മാഭിമാനം, സഹതാപത്തിനുള്ള അവന്റെ ആവശ്യം അവരുടെ കാൽക്കൽ കുളങ്ങളിൽ ഒഴുകി പടർന്നു, അവൾ ചെയ്തതെല്ലാം, അവൾ ചെയ്ത ദയനീയ പാപിയാണ്, അവൾ നനയാതിരിക്കാൻ അവളുടെ പാവാട കണങ്കാലിന് ചുറ്റും കുറച്ച് അടുപ്പിക്കുക എന്നതാണ്.	സങ്കടം 
ഹൃദയത്തിന്റെ അനിശ്ചിതത്വങ്ങളെ ധീരതയോടെ അഭിമുഖീകരിച്ച് ധീരനായിരിക്കുക എന്നതാണ് ആഴത്തിൽ സ്നേഹിക്കുക	സ്നേഹം 
ഒരു പ്രധാന ഹൈവേ അപ്രതീക്ഷിതമായി അടച്ചത് യാത്രക്കാർക്കിടയിൽ പരിഭ്രാന്തി സൃഷ്ടിച്ചു.	ഭയം 
 പക്ഷേ, കുറ്റബോധത്തിന്റെ കാര്യം, നിനക്കു വേണ്ടി ആർക്കും എടുത്തുകളയാനാവില്ല; നിങ്ങൾ തന്നെ അത് അഴിക്കണം.	കുറ്റബോധം 
 കുറ്റബോധം ഏറ്റവും ചെറിയ ലംഘനത്തിലൂടെ പൊട്ടിത്തെറിക്കുകയും ഭൂപ്രകൃതിയെ മൂടുകയും വെള്ളത്തെപ്പോലെ തന്നെ കുളങ്ങളിലും അണക്കെട്ടുകളിലും വസിക്കുകയും ചെയ്യുമെന്ന് എന്റെ അനുഭവമാണ്.	സങ്കടം 
