text	category
പ്രപഞ്ചം പിറുപിറുക്കുന്നു, പക്ഷേ ഞെട്ടൽ അതിന്റെ കോസ്മിക് സന്ദേശത്തെ വിളിച്ചുപറയുന്നു.	അത്ഭുതം 
പ്രതികൂല സാഹചര്യങ്ങളിൽ പ്രതിരോധത്തിന്റെ ജ്വാലയെ ജ്വലിപ്പിക്കുന്ന തീപ്പൊരി അതാണ്.	പ്രേതീക്ഷ 
 കുറ്റബോധം കുറ്റവാളിയെ ശമിപ്പിക്കുന്നില്ല.	കുറ്റബോധം 
നിങ്ങൾ അർഹിക്കുന്ന സന്തോഷം നിങ്ങക്ക് കിട്ടട്ടെ 	സന്തോഷം 
അവർക്കിടയിലുള്ള പങ്കിട്ട നിശബ്ദത, പറയാത്ത അടുപ്പത്തിന്റെ ഗർഭിണിയായിരുന്നു.	സ്നേഹം 
അവ വടക്കൻ നക്ഷത്രമായി വർത്തിക്കുന്നു, ജീവിതയാത്രയിലൂടെ നമ്മുടെ വഴി കണ്ടെത്താൻ സഹായിക്കുന്ന ഒരു നിരന്തര വഴികാട്ടി.	പ്രേതീക്ഷ 
പ്രകൃതിയിലെ അപ്രതീക്ഷിതമായ ഒരു കുടുംബയാത്ര ഒരു ഉന്മേഷദായകമായ മാറ്റമായിരുന്നു.	അഭിനന്ദനം
 ഉദ്ദേശ്യങ്ങൾ ഒന്നുമല്ല	സങ്കടം 
നിങ്ങളെ നോക്കൂ, നിങ്ങൾ തികഞ്ഞ രൂപത്തിലാണ്. ഒരു സർക്കിളിനായി.	പരിഹാസം 
ചാമ്പ്യൻഷിപ്പ് മത്സരത്തിൽ പ്രവേശിച്ചപ്പോൾ വിറയൽ ടീമിനെ വലയം ചെയ്തു.	ഭയം 
ഒരു പതിവ് കുടുംബ അത്താഴത്തെ എതിരാളികളായ രുചിയും അപ്രതീക്ഷിതമായ കഥാസന്ദർഭങ്ങളുമുള്ള ഒരു പാചക ഏറ്റുമുട്ടലാക്കി മാറ്റുന്നതിൽ നിങ്ങളുടെ സൃഷ്ടിപരമായ പ്രതിഭയെ ഞാൻ അഭിനന്ദിക്കണം.	പരിഹാസം 
ഒരു വ്യക്തിഗത ധനകാര്യ ആപ്പ് ഉപേയാഗിച്ച് സ്ഥിരവും പരിഹരിക്കപ്പെടാത്തതുമായ പ്രശ്നങ്ങൾകൈകാര്യംചെയ്യുന്നു.	ദേഷ്യം 
രഹസ്യമായ കുറ്റബോധം നിശബ്ദതയിലൂടെ വെളിപ്പെടുന്നു.	കുറ്റബോധം 
അപ്രതീക്ഷിതമായ അഭിനന്ദനം അവളുടെ ദിവസത്തിലേക്ക് ഒരു യഥാർത്ഥ സന്തോഷം കൊണ്ടുവന്നു.	സന്തോഷം 
നിങ്ങളുെടവൈദഗ്ധ്യം തുടർച്ചയായി നിരസിക്കുന്ന ഒരു സഹപ്രവർത്തകനുമായി ഇടപെടുന്നു.	ദേഷ്യം 
ജോലിസ്ഥലത്തെജോലി സംതൃപ്തിയിൽപെട്ടെന്നുള്ളതും അപ്രതീക്ഷിതവുമായ കുറവുമായിപൊരുത്തപ്പെടുന്നു.	ദേഷ്യം 
